country,year,sex,value,quality_obs_flag,quality_conf_status,dataflow,last_update,freq,indic_em,unit,age
Austria,2009,Females,68.2,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2010,Females,68.8,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2011,Females,69.2,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2012,Females,69.6,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2013,Females,70.0,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2014,Females,70.1,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2015,Females,70.2,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2016,Females,70.9,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2017,Females,71.4,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2018,Females,71.7,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2019,Females,72.4,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2020,Females,70.6,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2021,Females,71.3,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2022,Females,73.4,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2023,Females,73.3,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2024,Females,73.9,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Austria,2025,Females,74.2,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Bosnia and Herzegovina,2021,Females,39.1,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Bosnia and Herzegovina,2022,Females,40.0,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
Bosnia and Herzegovina,2023,Females,42.1,,,ESTAT:TESEM010(1.0),2016-04-26 23:00:00,Annual,Total employment (resident population concept - LFS),Percentage of total population,From 20 to 64 years
