country,year,sex,value,quality_obs_status_label,quality_note_indicator_label,quality_note_source_label,source_label,indicator_label
Afghanistan,2021,Male,44.91,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Afghanistan,2021,Female,33.1,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Angola,2025,Male,52.66,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2025,Female,46.67,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2024,Male,52.89,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2024,Female,46.26,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2023,Male,51.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2023,Female,44.43,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2022,Male,51.43,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2022,Female,44.71,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2021,Male,50.89,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2021,Female,44.06,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2020,Male,50.47,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2020,Female,42.23,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2019,Male,51.03,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Angola,2019,Female,42.38,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,Mean weekly hours usually worked per employee by sex
Albania,2024,Male,44.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2024,Female,42.46,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2023,Male,44.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2023,Female,42.66,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2022,Male,44.84,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2022,Female,42.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2021,Male,44.39,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2021,Female,42.12,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2020,Male,44.1,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2020,Female,42.11,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2019,Male,44.37,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2019,Female,42.32,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2018,Male,44.35,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2018,Female,42.4,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2017,Male,44.07,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2017,Female,42.26,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2016,Male,43.74,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2016,Female,41.95,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2015,Male,43.49,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Albania,2015,Female,41.2,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2024,Male,46.48,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2024,Female,46.64,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2023,Male,48.41,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2023,Female,49.0,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2022,Male,49.33,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2022,Female,51.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2019,Male,51.33,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2019,Female,52.65,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2018,Male,49.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2018,Female,53.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
United Arab Emirates,2017,Male,52.32,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
